id;title;description;start_at;finish_at;room_id;created_by
1;Congrès de projet restreint;Renforcer les positionnements user-friendly;2021-09-12T09:30:00;2021-09-12T13:00:00;1;1
2;Briefing stratégique plénier;Customiser les marketplaces full stacks;2021-09-12T14:30:00;2021-09-12T16:30:00;2;1
3;Conseil de management consultatif;Rationaliser les relations agiles;2021-09-12T16:30:00;2021-09-12T17:00:00;3;1
4;Atelier d'administration central;Switcher le lead nurturing clivant;2021-09-12T09:30:00;2021-09-12T13:00:00;4;1
5;Point de lancement participatif;Switcher les dimensions agiles;2021-09-13T08:30:00;2021-09-13T12:30:00;1;1
6;Comité de plannification central;Piloter les marketplaces inclusifs;2021-09-13T11:00:00;2021-09-13T12:00:00;2;1
7;Point tactique pluriannuel;Projeter les plateformes conversationnelles en one-shot;2021-09-13T09:00:00;2021-09-13T10:00:00;3;1
8;Comité de management consultatif;Onboarder les dimensions au prorata des droits d'exploitation;2021-09-13T15:00:00;2021-09-13T15:30:00;4;1
9;Call de lancement plénier;Mobiliser un niveau de maturité user centric;2021-09-14T15:00:00;2021-09-14T15:30:00;1;1
10;Groupe d'avancement central;Twister les applications rupturiste;2021-09-14T16:30:00;2021-09-14T17:00:00;2;1
11;Test;Rationaliser;2021-11-12T16:30:00;2021-11-12T17:00:00;3;1
